CFGPdb_unigene	clones	libraries_specific	annotation	Arabidopsis_first_BLAST_hit_ID	Arabidopsis_first_BLAST_hit_description
aC18001A05Rv_c	C18001A05	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18001A08Rv_c	C18001A08	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18001C10Rv_c	C18001C10	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18001E09Rv_c	C18001E09	yes	Putative organic cation transporter	AT3G13050	transporter-related, low similarity to apical organic cation transporter (Sus scrofa) GI:2062135, SP:Q02563 Synaptic vesicle protein 2 (SV2) {Rattus norvegicus}; contains Pfam profile PF00083: major facilitator superfamily protein
aC18001E11Rv_c	C18001E11	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18002A07Rv_c	C18002A07	yes	At3g56210	AT3G56210	expressed protein
aC18002A08Rv_c	C18002A08	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18002B12Rv_c	C18002B12	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18002D07Rv_c	C18002D07	yes	Early light-induced protein	AT3G22840	chlorophyll A-B binding family protein / early light-induced protein (ELIP), identical to early light-induced protein; ELIP (Arabidopsis thaliana) GI:1872544; contains Pfam profile: PF00504 chlorophyll A-B binding protein; identical to cDNA early light-induced protein GI:1872543
aC18002E01Rv_c	C18002E01	yes	AT5g63950/MBM17_5	AT5G63950	SNF2 domain-containing protein / helicase domain-containing protein, low similarity to SP:Q03468 Excision repair protein ERCC-6 (Cockayne syndrome protein CSB) {Homo sapiens}; contains PFam profiles PF00271: Helicase conserved C-terminal domain, PF00176: SNF2 family N-terminal domain
aC18002H02Rv_c	C18002H02	yes	Senescence-associated protein	AT4G35770	senescence-associated protein (SEN1), identical to senescence-associated protein GI:1046270 from (Arabidopsis thaliana)
aC18003A08Rv_c	C18003A08	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18003A11Rv_c	C18003A11	yes	UPI000034F4FD; antiporter/ drug transporter/ transporter	AT1G71140	MATE efflux family protein, similar to ripening regulated protein DDTFR18 (Lycopersicon esculentum) GI:12231296; contains Pfam profile PF01554: Uncharacterized membrane protein family
aC18003B03Rv_c	C18003B03	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18003C09Rv_c	C18003C09	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18003F02Rv_c	C18003F02	yes	GTPase activating protein-like	AT3G17980	C2 domain-containing protein, similar to zinc finger and C2 domain protein GI:9957238 from (Arabidopsis thaliana)
aC18003F10Rv_c	C18003F10	yes	no_annotation_available	no_similar_Arabidopsis_protein	
aC18004A03Rv_c	C18004A03	yes	AT3g10970/F9F8_21	AT3G10970	haloacid dehalogenase-like hydrolase family protein, low similarity to genetic modifier (Zea mays) GI:10444400; contains InterPro accession IPR005834: Haloacid dehalogenase-like hydrolase
aC18004A06Rv_c	C18004A06	yes	Putative step II splicing factor SLU7	AT1G65660	zinc knuckle (CCHC-type) family protein, contains Pfam domain, PF00098: Zinc knuckle
aC18004B04Rv_c	C18004B04	yes	sp|P30574 Candida albicans Carboxypeptidase Y	AT4G12910	SCPL20 | serine carboxypeptidase S10 family protein, SERINE CARBOXYPEPTIDASE I PRECURSOR - Hordeum vulgare, SWall:CBP1_HORVU
